year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,40,17,151.209,8,15-May,11:20,AM,35.11227,-119.63371,above,open,burrow,,,basking,mario,,1.598
2018,44,6,150.75,8,15-May,12:06,AM,35.12044,-119.6256,below,open,,,,standing,steph,,1.589
2018,47,25,151.649,8,15-May,10:12,AM,35.12008,-119.62778,above,open,burrow,mound,,basking,mario,,1.618
2018,56,9,150.81,8,15-May,11:09,AM,35.11723,-119.63443,above,open,burrow,mound,,basking,mario,,1.603
2018,64,8,151.79,8,15-May,10:20,AM,35.1152,-119.61915,above,open,mound,,,basking,steph,,1.71
2018,80,4,150.63,8,15-May,10:58,AM,35.11494,-119.62383,above,open,3M from shrub,,,standing,steph,,1.693
2018,91,20,151.37,8,15-May,11:38,AM,35.11777,-119.62452,above,open,mound,,,standing,steph,,1.552
2018,93,19,151.29,8,15-May,12:00,PM,35.11958,-11902670,below,open,burrow,mound,,standing,steph,,1.726
2018,99,3,150.609,8,15-May,11:03,AM,35.11507,-119.62488,above,open,mound,,,standing,steph,,1.708
2018,100,1,150.549,8,15-May,11:24,AM,35.11799,-119.62634,above,open,burrow,,,standing,steph,,1.712
2018,130,30,151.969,8,15-May,10:38,AM,35.11954,-119.62118,above,open,hillside,,,standing,steph,,1.57
2018,176,12,151.029,8,15-May,10:49,AM,35.11632,-119.6343,above,shrub,,,Near lizard 9,standing,mario,,1.549
2018,200,10,150.83,8,15-May,10:35,AM,35.11921,-119.63032,above,open,washbank,,,basking,mario,,1.635
2018,1337,29,151.91,8,15-May,10:09,AM,35.12085,-119.62825,above,open,,,,basking,mario,,1.82
2018,12B,16,151.15,8,15-May,10:24,AM,35.1184,-119.62929,above,open,mound,2M from shrub,,basking,mario,,1.582
2018,1,21,151.43,9,16-May,9:10,AM,35.12688,-119.63699,below,open,mound,,,standing,mario,,2.208
2018,2,26,151.809,9,16-May,9:15,AM,35.12522,-119.63679,above,open,burrow,mound,,standing,mario,,1.999
